forecast_time,ts,windSpeed10m,windDirectionFrom10m,windGustSpeed10m,uvIndex,probOfPrecipitation,feelsLikeTemp
2022-11-08 09:00:00+00:00,1667898000000.0,16.950000762939453,212,20.34000015258789,1,17,8.15999984741211
2022-11-08 12:00:00+00:00,1667908800000.0,15.640000343322754,226,18.8799991607666,1,84,8.65999984741211
2022-11-08 15:00:00+00:00,1667919600000.0,11.779999732971191,238,18.0,1,91,9.15999984741211
2022-11-08 18:00:00+00:00,1667930400000.0,13.989999771118164,235,16.979999542236328,0,54,8.649999618530273
2022-11-08 21:00:00+00:00,1667941200000.0,13.460000038146973,240,20.579999923706055,0,92,8.630000114440918
2022-11-09 00:00:00+00:00,1667952000000.0,10.90999984741211,244,15.430000305175781,0,82,9.140000343322754
2022-11-09 03:00:00+00:00,1667962800000.0,11.119999885559082,234,13.579999923706055,0,69,9.010000228881836
2022-11-09 06:00:00+00:00,1667973600000.0,8.220000267028809,253,11.390000343322754,0,92,8.539999961853027
2022-11-09 09:00:00+00:00,1667984400000.0,9.859999656677246,260,13.029999732971191,1,2,8.5600004196167
2022-11-09 12:00:00+00:00,1667995200000.0,10.770000457763672,263,13.229999542236328,1,1,9.699999809265137
2022-11-09 15:00:00+00:00,1668006000000.0,9.239999771118164,252,12.859999656677246,1,12,10.489999771118164
2022-11-09 18:00:00+00:00,1668016800000.0,7.869999885559082,241,11.34000015258789,0,0,9.729999542236328
2022-11-09 21:00:00+00:00,1668027600000.0,6.019999980926514,256,9.84000015258789,0,0,9.149999618530273
2022-11-10 00:00:00+00:00,1668038400000.0,9.739999771118164,238,12.380000114440918,0,3,9.619999885559082
2022-11-10 03:00:00+00:00,1668049200000.0,9.0600004196167,241,13.369999885559082,0,1,9.90999984741211
2022-11-10 06:00:00+00:00,1668060000000.0,10.489999771118164,235,13.220000267028809,0,5,9.640000343322754
2022-11-10 09:00:00+00:00,1668070800000.0,9.40999984741211,225,13.119999885559082,1,9,10.4399995803833
2022-11-10 12:00:00+00:00,1668081600000.0,10.609999656677246,233,13.0,1,9,10.40999984741211
2022-11-10 15:00:00+00:00,1668092400000.0,10.460000038146973,231,13.550000190734863,1,9,10.329999923706055
2022-11-10 18:00:00+00:00,1668103200000.0,8.430000305175781,210,12.180000305175781,0,25,11.579999923706055
2022-11-10 21:00:00+00:00,1668114000000.0,8.890000343322754,197,12.65999984741211,0,10,11.710000038146973
2022-11-11 00:00:00+00:00,1668124800000.0,8.829999923706055,194,13.170000076293945,0,10,11.720000267028809
2022-11-11 03:00:00+00:00,1668135600000.0,10.260000228881836,198,13.890000343322754,0,10,10.779999732971191
2022-11-11 06:00:00+00:00,1668146400000.0,12.270000457763672,200,15.010000228881836,0,10,9.779999732971191
2022-11-11 09:00:00+00:00,1668157200000.0,11.199999809265137,201,13.4399995803833,1,9,9.970000267028809
2022-11-11 12:00:00+00:00,1668168000000.0,8.970000267028809,203,11.470000267028809,1,8,11.09000015258789
2022-11-11 15:00:00+00:00,1668178800000.0,7.489999771118164,190,8.989999771118164,1,1,11.210000038146973
2022-11-11 18:00:00+00:00,1668189600000.0,5.190000057220459,154,6.230000019073486,0,4,10.050000190734863
2022-11-11 21:00:00+00:00,1668200400000.0,2.9100000858306885,161,6.690000057220459,0,4,9.210000038146973
2022-11-12 00:00:00+00:00,1668211200000.0,3.4600000381469727,157,5.769999980926514,0,7,8.5600004196167
2022-11-12 03:00:00+00:00,1668222000000.0,5.449999809265137,202,6.539999961853027,0,5,10.579999923706055
2022-11-12 06:00:00+00:00,1668232800000.0,5.5,129,6.599999904632568,0,4,9.619999885559082
2022-11-12 09:00:00+00:00,1668243600000.0,3.3399999141693115,110,6.170000076293945,1,4,11.390000343322754
2022-11-12 12:00:00+00:00,1668254400000.0,5.760000228881836,124,7.71999979019165,1,0,13.869999885559082
2022-11-12 15:00:00+00:00,1668265200000.0,4.940000057220459,108,9.260000228881836,1,0,13.449999809265137
2022-11-12 18:00:00+00:00,1668276000000.0,6.070000171661377,100,10.289999961853027,0,0,11.670000076293945
2022-11-12 21:00:00+00:00,1668286800000.0,5.760000228881836,91,8.229999542236328,0,1,11.59000015258789
2022-11-13 00:00:00+00:00,1668297600000.0,3.190000057220459,117,8.229999542236328,0,1,11.640000343322754
2022-11-13 03:00:00+00:00,1668308400000.0,2.4200000762939453,106,6.170000076293945,0,17,11.880000114440918
2022-11-13 06:00:00+00:00,1668319200000.0,4.119999885559082,102,8.75,0,17,10.09000015258789
2022-11-13 09:00:00+00:00,1668330000000.0,4.579999923706055,106,8.229999542236328,1,14,10.130000114440918
2022-11-13 12:00:00+00:00,1668340800000.0,5.139999866485596,96,7.71999979019165,1,1,11.869999885559082
2022-11-13 15:00:00+00:00,1668351600000.0,5.400000095367432,110,8.229999542236328,1,0,12.9399995803833
2022-11-13 18:00:00+00:00,1668362400000.0,3.5999999046325684,87,8.229999542236328,0,0,11.550000190734863
2022-11-13 21:00:00+00:00,1668373200000.0,4.170000076293945,100,6.690000057220459,0,4,10.079999923706055
2022-11-14 00:00:00+00:00,1668384000000.0,5.789999961853027,147,6.949999809265137,0,3,9.220000267028809
2022-11-14 03:00:00+00:00,1668394800000.0,2.059999942779541,105,4.119999885559082,0,19,11.710000038146973
2022-11-14 06:00:00+00:00,1668405600000.0,2.4200000762939453,120,6.170000076293945,0,19,11.979999542236328
2022-11-14 09:00:00+00:00,1668416400000.0,2.5299999713897705,173,5.659999847412109,1,16,13.670000076293945
2022-11-14 12:00:00+00:00,1668427200000.0,2.930000066757202,227,6.170000076293945,1,15,15.09000015258789
2022-11-14 15:00:00+00:00,1668438000000.0,2.5,185,6.690000057220459,1,36,14.5600004196167
2022-11-14 18:00:00+00:00,1668448800000.0,8.649999618530273,257,12.039999961853027,0,22,9.520000457763672
2022-11-14 21:00:00+00:00,1668459600000.0,8.140000343322754,236,10.279999732971191,0,1,8.649999618530273
2022-11-15 00:00:00+00:00,1668470400000.0,14.539999961853027,202,17.450000762939453,0,4,7.730000019073486
2022-11-15 03:00:00+00:00,1668481200000.0,13.359999656677246,181,16.040000915527344,0,90,8.050000190734863
2022-11-15 06:00:00+00:00,1668492000000.0,14.0,171,16.799999237060547,0,98,7.639999866485596
2022-11-15 09:00:00+00:00,1668502800000.0,15.229999542236328,173,18.270000457763672,1,98,7.5
2022-11-15 12:00:00+00:00,1668513600000.0,15.579999923706055,209,20.579999923706055,1,64,8.130000114440918
2022-11-15 15:00:00+00:00,1668524400000.0,12.90999984741211,234,15.489999771118164,1,88,8.210000038146973
2022-11-15 18:00:00+00:00,1668535200000.0,13.720000267028809,234,16.510000228881836,0,10,7.28000020980835
2022-11-15 21:00:00+00:00,1668546000000.0,9.40999984741211,239,11.34000015258789,0,69,7.829999923706055
2022-11-16 00:00:00+00:00,1668556800000.0,9.130000114440918,215,12.399999618530273,0,92,7.980000019073486
2022-11-16 03:00:00+00:00,1668567600000.0,10.220000267028809,206,12.859999656677246,0,90,7.369999885559082
2022-11-16 06:00:00+00:00,1668578400000.0,11.8100004196167,199,15.430000305175781,0,93,7.119999885559082
2022-11-16 09:00:00+00:00,1668589200000.0,4.989999771118164,262,10.130000114440918,1,89,6.019999980926514
2022-11-16 12:00:00+00:00,1668600000000.0,11.130000114440918,228,13.359999656677246,1,59,8.0600004196167
2022-11-16 15:00:00+00:00,1668610800000.0,10.869999885559082,184,13.270000457763672,1,96,8.720000267028809
2022-11-16 18:00:00+00:00,1668621600000.0,11.9399995803833,117,16.260000228881836,0,98,7.800000190734863
2022-11-16 21:00:00+00:00,1668632400000.0,11.670000076293945,189,15.369999885559082,0,70,9.020000457763672
2022-11-17 00:00:00+00:00,1668643200000.0,11.460000038146973,251,15.680000305175781,0,74,6.900000095367432
2022-11-17 03:00:00+00:00,1668654000000.0,12.050000190734863,273,17.530000686645508,0,61,5.170000076293945
2022-11-17 06:00:00+00:00,1668664800000.0,10.359999656677246,269,15.09000015258789,0,9,5.829999923706055
2022-11-17 09:00:00+00:00,1668675600000.0,10.140000343322754,264,14.399999618530273,1,2,6.559999942779541
2022-11-17 12:00:00+00:00,1668686400000.0,9.649999618530273,264,13.569999694824219,1,1,7.980000019073486
2022-11-17 15:00:00+00:00,1668697200000.0,8.109999656677246,263,11.470000267028809,1,3,8.460000038146973
2022-11-17 18:00:00+00:00,1668708000000.0,8.380000114440918,271,12.529999732971191,0,3,7.050000190734863
2022-11-17 21:00:00+00:00,1668718800000.0,9.350000381469727,267,13.699999809265137,0,4,6.329999923706055
2022-11-18 00:00:00+00:00,1668729600000.0,9.510000228881836,267,13.989999771118164,0,2,6.179999828338623
2022-11-18 03:00:00+00:00,1668740400000.0,8.729999542236328,267,12.930000305175781,0,1,6.179999828338623
2022-11-18 06:00:00+00:00,1668751200000.0,7.949999809265137,271,12.039999961853027,0,1,5.730000019073486
2022-11-18 09:00:00+00:00,1668762000000.0,8.010000228881836,275,12.170000076293945,1,0,6.239999771118164
2022-11-18 12:00:00+00:00,1668772800000.0,8.300000190734863,284,12.520000457763672,1,1,7.659999847412109
2022-11-18 15:00:00+00:00,1668783600000.0,7.539999961853027,288,11.390000343322754,1,4,7.690000057220459
2022-11-18 18:00:00+00:00,1668794400000.0,6.539999961853027,286,10.0600004196167,0,1,6.110000133514404
2022-11-18 21:00:00+00:00,1668805200000.0,5.949999809265137,292,9.260000228881836,0,1,5.03000020980835
2022-11-19 00:00:00+00:00,1668816000000.0,5.460000038146973,297,8.569999694824219,0,2,4.400000095367432
2022-11-19 03:00:00+00:00,1668826800000.0,5.150000095367432,299,8.119999885559082,0,3,4.039999961853027
2022-11-19 06:00:00+00:00,1668837600000.0,4.940000057220459,302,7.829999923706055,0,3,3.7799999713897705
2022-11-19 09:00:00+00:00,1668848400000.0,4.980000019073486,303,7.929999828338623,1,3,4.559999942779541
2022-11-19 12:00:00+00:00,1668859200000.0,4.929999828338623,289,8.140000343322754,1,2,7.230000019073486
2022-11-19 15:00:00+00:00,1668870000000.0,4.489999771118164,273,7.159999847412109,1,3,7.710000038146973
2022-11-19 18:00:00+00:00,1668880800000.0,4.320000171661377,256,6.860000133514404,0,6,6.940000057220459
2022-11-19 21:00:00+00:00,1668891600000.0,6.480000019073486,227,10.029999732971191,0,8,7.489999771118164
2022-11-20 00:00:00+00:00,1668902400000.0,8.520000457763672,222,13.170000076293945,0,45,6.730000019073486
2022-11-20 03:00:00+00:00,1668913200000.0,9.829999923706055,202,15.149999618530273,0,66,6.670000076293945
2022-11-20 06:00:00+00:00,1668924000000.0,8.539999961853027,251,13.279999732971191,0,49,6.380000114440918
2022-11-20 09:00:00+00:00,1668934800000.0,8.600000381469727,265,13.420000076293945,1,17,5.949999809265137
2022-11-20 12:00:00+00:00,1668945600000.0,9.75,275,15.520000457763672,1,14,6.539999961853027
2022-11-20 15:00:00+00:00,1668956400000.0,8.960000038146973,278,13.920000076293945,1,15,6.260000228881836
2022-11-20 18:00:00+00:00,1668967200000.0,8.510000228881836,279,13.170000076293945,0,11,5.119999885559082
2022-11-20 21:00:00+00:00,1668978000000.0,7.889999866485596,273,12.180000305175781,0,8,4.989999771118164
2022-11-21 00:00:00+00:00,1668988800000.0,6.5,267,10.0,0,10,5.239999771118164
2022-11-21 03:00:00+00:00,1668999600000.0,5.809999942779541,247,8.9399995803833,0,8,6.289999961853027
2022-11-21 06:00:00+00:00,1669010400000.0,7.050000190734863,226,11.180000305175781,0,14,6.239999771118164
2022-11-21 09:00:00+00:00,1669021200000.0,8.40999984741211,212,13.520000457763672,1,36,6.590000152587891
2022-11-21 12:00:00+00:00,1669032000000.0,8.649999618530273,226,14.15999984741211,1,40,6.949999809265137
2022-11-21 15:00:00+00:00,1669042800000.0,7.670000076293945,253,12.479999542236328,1,19,6.21999979019165
2022-11-21 18:00:00+00:00,1669053600000.0,7.039999961853027,272,11.380000114440918,0,15,5.460000038146973
2022-11-21 21:00:00+00:00,1669064400000.0,7.429999828338623,269,11.989999771118164,0,11,5.440000057220459
2022-11-22 00:00:00+00:00,1669075200000.0,7.590000152587891,282,12.199999809265137,0,9,5.099999904632568
2022-11-22 03:00:00+00:00,1669086000000.0,7.679999828338623,334,12.350000381469727,0,6,4.869999885559082
2022-11-22 06:00:00+00:00,1669096800000.0,7.639999866485596,336,12.319999694824219,0,5,4.710000038146973
2022-11-22 09:00:00+00:00,1669107600000.0,7.440000057220459,336,12.220000267028809,1,4,5.639999866485596
2022-11-22 12:00:00+00:00,1669118400000.0,7.300000190734863,281,12.25,1,4,6.710000038146973
2022-11-22 15:00:00+00:00,1669129200000.0,6.46999979019165,261,10.670000076293945,1,8,6.670000076293945
2022-11-22 18:00:00+00:00,1669140000000.0,5.809999942779541,296,9.25,0,8,6.400000095367432
2022-11-22 21:00:00+00:00,1669150800000.0,6.269999980926514,231,9.989999771118164,0,15,6.239999771118164
2022-11-23 00:00:00+00:00,1669161600000.0,6.800000190734863,270,10.850000381469727,0,16,6.079999923706055
2022-11-23 03:00:00+00:00,1669172400000.0,7.0,279,11.140000343322754,0,35,6.519999980926514
2022-11-23 06:00:00+00:00,1669183200000.0,7.340000152587891,223,11.739999771118164,0,36,6.820000171661377
2022-11-23 09:00:00+00:00,1669194000000.0,8.180000305175781,224,13.239999771118164,1,36,7.139999866485596
2022-11-23 12:00:00+00:00,1669204800000.0,8.920000076293945,231,14.640000343322754,1,35,7.539999961853027
